supplier_id,supplier_category,project_id,contract_value,delivery_delay_days,quality_score,rework_cost
SUP-0194,facade,PRJ-0009,2407232.37,1,6.41,17865.53
SUP-0083,general_contractor,PRJ-0009,640856.18,-7,9.83,0.0
SUP-0089,facade,PRJ-0009,948457.27,-12,9.59,0.0
SUP-0148,structural,PRJ-0010,3037247.2,5,8.29,0.0
SUP-0180,facade,PRJ-0010,3400488.42,8,8.81,0.0
SUP-0254,mep,PRJ-0010,135264.69,1,9.39,0.0
SUP-0122,finishes,PRJ-0010,815041.62,-13,10.0,0.0
SUP-0238,other,PRJ-0010,1959576.01,-1,8.62,0.0
SUP-0056,other,PRJ-0011,186814.95,-12,8.59,0.0
SUP-0385,other,PRJ-0011,490449.25,-8,6.6,2589.06
SUP-0061,facade,PRJ-0011,89049.37,-13,6.29,662.36
SUP-0046,earthworks,PRJ-0011,261591.91,6,6.18,2285.48
SUP-0134,structural,PRJ-0011,155976.3,-24,7.66,0.0
SUP-0238,other,PRJ-0011,124396.62,-3,6.85,255.05
SUP-0140,other,PRJ-0011,184358.06,24,5.72,2213.14
SUP-0300,general_contractor,PRJ-0011,65772.06,16,4.47,2105.0
SUP-0387,mep,PRJ-0011,163930.27,-1,6.94,124.81
SUP-0254,mep,PRJ-0011,438907.29,15,6.95,195.47
SUP-0097,general_contractor,PRJ-0011,231828.82,-16,6.95,178.11
SUP-0095,earthworks,PRJ-0012,147619.96,-11,8.59,0.0
SUP-0238,other,PRJ-0012,56800.09,-4,8.42,0.0
SUP-0043,structural,PRJ-0012,97080.02,-4,8.69,0.0
SUP-0133,other,PRJ-0012,378924.01,2,7.38,0.0
SUP-0362,facade,PRJ-0012,212984.7,-10,5.87,3253.7
SUP-0347,earthworks,PRJ-0012,822569.45,8,7.86,0.0
SUP-0311,finishes,PRJ-0012,327251.6,-21,6.91,391.21
SUP-0261,mep,PRJ-0012,2176659.55,2,9.0,0.0
SUP-0292,facade,PRJ-0012,3100473.89,-5,7.16,0.0
SUP-0242,earthworks,PRJ-0012,439320.09,-6,7.51,0.0
SUP-0150,finishes,PRJ-0013,2105785.45,22,6.44,9293.51
SUP-0019,facade,PRJ-0013,45715.17,15,6.08,291.8
SUP-0191,mep,PRJ-0013,1259942.3,-8,7.91,0.0
SUP-0056,other,PRJ-0013,1715146.62,-10,8.3,0.0
SUP-0061,facade,PRJ-0013,2296603.93,16,4.95,55898.64
SUP-0309,structural,PRJ-0013,708497.76,-13,7.38,0.0
SUP-0039,earthworks,PRJ-0013,842028.65,6,6.43,3028.81
SUP-0202,general_contractor,PRJ-0013,924683.02,-4,6.38,7757.44
SUP-0391,general_contractor,PRJ-0014,728627.27,-17,7.07,0.0
SUP-0057,structural,PRJ-0014,288828.7,21,7.2,0.0
SUP-0213,finishes,PRJ-0014,606704.92,6,7.2,0.0
SUP-0254,mep,PRJ-0014,643907.76,4,7.74,0.0
SUP-0387,mep,PRJ-0014,1008199.01,-5,7.91,0.0
SUP-0378,other,PRJ-0014,170639.89,-8,9.08,0.0
SUP-0158,earthworks,PRJ-0014,176518.51,9,7.34,0.0
SUP-0352,mep,PRJ-0014,111868.99,-8,7.53,0.0
SUP-0222,facade,PRJ-0014,48595.36,-4,7.35,0.0
SUP-0046,earthworks,PRJ-0014,415183.52,-13,8.88,0.0
SUP-0032,earthworks,PRJ-0014,1461279.84,20,7.79,0.0
SUP-0023,mep,PRJ-0015,356846.82,-12,8.86,0.0
SUP-0323,structural,PRJ-0015,282021.59,-17,6.66,1078.27
SUP-0110,facade,PRJ-0015,1196742.07,-7,7.31,0.0
SUP-0010,finishes,PRJ-0015,160166.35,-7,8.04,0.0
SUP-0391,general_contractor,PRJ-0015,23382.72,9,7.31,0.0
SUP-0346,finishes,PRJ-0015,1000.0,14,6.2,6.54
SUP-0238,other,PRJ-0015,512673.34,-7,8.17,0.0
SUP-0087,finishes,PRJ-0015,985924.52,-26,9.55,0.0
SUP-0187,facade,PRJ-0015,3074311.52,-8,5.94,41142.26
SUP-0249,earthworks,PRJ-0015,302916.25,22,7.03,0.0
SUP-0210,other,PRJ-0016,1654047.64,-1,7.49,0.0
SUP-0033,facade,PRJ-0016,3065340.93,-4,8.46,0.0
SUP-0238,other,PRJ-0016,8192545.57,0,6.97,2426.67
SUP-0167,general_contractor,PRJ-0016,853585.59,-8,8.64,0.0
SUP-0213,finishes,PRJ-0016,556857.41,3,7.17,0.0
SUP-0248,finishes,PRJ-0016,113104.43,17,6.06,1357.44
SUP-0354,earthworks,PRJ-0017,869822.95,-9,7.95,0.0
SUP-0285,facade,PRJ-0017,6156786.02,8,8.08,0.0
SUP-0135,mep,PRJ-0017,1948330.21,2,7.08,0.0
SUP-0228,earthworks,PRJ-0017,1917991.99,10,8.35,0.0
SUP-0351,structural,PRJ-0017,1361473.31,7,6.66,4293.91
SUP-0039,earthworks,PRJ-0017,1281505.71,-4,7.97,0.0
SUP-0104,general_contractor,PRJ-0017,2244508.05,-10,8.21,0.0
SUP-0089,facade,PRJ-0017,381135.91,-8,7.2,0.0
SUP-0240,mep,PRJ-0017,1293311.68,-13,7.47,0.0
SUP-0244,general_contractor,PRJ-0018,3173893.09,-20,9.67,0.0
SUP-0238,other,PRJ-0018,8461481.66,-7,8.66,0.0
SUP-0144,earthworks,PRJ-0018,9979305.92,8,6.86,10770.87
SUP-0397,facade,PRJ-0018,1457844.53,11,8.9,0.0
SUP-0270,earthworks,PRJ-0018,5677012.09,-20,8.22,0.0
SUP-0279,general_contractor,PRJ-0018,722172.09,-24,9.38,0.0
SUP-0033,facade,PRJ-0018,1186683.63,-8,8.56,0.0
SUP-0193,earthworks,PRJ-0018,3221049.86,-8,7.53,0.0
SUP-0169,structural,PRJ-0018,7868554.75,-13,8.87,0.0
SUP-0324,mep,PRJ-0019,1607960.69,15,7.68,0.0
SUP-0387,mep,PRJ-0019,199416.33,1,6.14,2311.67
SUP-0222,facade,PRJ-0019,787072.5,4,6.66,3215.91
SUP-0383,facade,PRJ-0019,1588462.45,5,7.26,0.0
SUP-0292,facade,PRJ-0019,1593048.99,9,5.16,25357.89
SUP-0008,structural,PRJ-0019,1231705.37,21,5.82,9716.34
SUP-0323,structural,PRJ-0019,1843612.65,2,6.49,9379.86
SUP-0046,earthworks,PRJ-0019,3011779.75,3,6.37,27408.69
SUP-0238,other,PRJ-0020,477274.45,-26,10.0,0.0
SUP-0040,facade,PRJ-0020,105816.96,-2,6.56,518.68
SUP-0235,earthworks,PRJ-0020,2919582.87,-15,8.8,0.0
SUP-0042,other,PRJ-0020,1898914.24,-15,9.55,0.0
SUP-0195,general_contractor,PRJ-0020,854975.52,9,6.9,534.8
SUP-0351,structural,PRJ-0020,1040968.14,15,6.56,6332.95
SUP-0024,finishes,PRJ-0020,1073251.36,4,7.65,0.0
