project_id,snapshot_date,planned_progress,actual_progress,planned_cost,actual_cost,committed_cost,earned_value,forecast_cost
PRJ-0003,2025-09-30,0.0215,0.0775,208119.53,695270.11,750547.96,749160.03,8971212.66
PRJ-0003,2025-10-31,0.0381,0.1041,367911.74,982856.52,1060999.1,1006422.87,9440213.52
PRJ-0003,2025-11-30,0.059,0.1299,570707.91,1211639.33,1307971.41,1255569.02,9328352.8
PRJ-0003,2025-12-31,0.0843,0.1566,814555.0,1483483.71,1601428.93,1514265.24,9470066.29
PRJ-0004,2022-10-31,0.0031,0.0308,89577.38,866568.5,884011.39,877316.19,28143433.52
PRJ-0004,2022-11-30,0.0125,0.0637,357183.04,1731885.78,1766746.39,1813904.02,27204156.82
PRJ-0004,2022-12-31,0.0281,0.0972,799451.68,2718772.32,2773497.67,2769274.58,27972877.8
PRJ-0004,2023-01-31,0.0495,0.1291,1410821.52,3629697.74,3702758.83,3677456.74,28122454.02
PRJ-0004,2023-02-28,0.0766,0.1597,2183604.22,4861138.04,4958986.42,4550717.17,30436060.34
PRJ-0004,2023-03-31,0.1091,0.192,3108081.6,5791393.85,5907967.08,5469732.82,30168055.34
PRJ-0004,2023-04-30,0.1464,0.2236,4172627.82,6638179.1,6771797.01,6370912.04,29687777.38
PRJ-0004,2023-05-31,0.1883,0.2555,5363855.58,7520234.09,7671606.62,7279146.2,29436166.14
PRJ-0004,2023-06-30,0.234,0.2879,6666784.51,8731555.42,8907310.27,8202693.92,30329512.95
PRJ-0004,2023-07-31,0.2831,0.3189,8065029.52,9795321.98,9992489.07,9084833.4,30720768.55
PRJ-0004,2023-08-31,0.3349,0.3496,9541006.88,10933468.12,11153544.61,9959752.43,31278054.16
PRJ-0004,2023-09-30,0.3887,0.3836,11076155.3,12000180.04,12241728.05,10930285.85,31281427.95
PRJ-0004,2023-10-31,0.444,0.4153,12651169.4,13434387.35,13704804.09,11832124.24,32350833.35
PRJ-0004,2023-11-30,0.5,0.4474,14246242.48,14078522.22,14361904.56,12748844.93,31464190.28
PRJ-0004,2023-12-31,0.556,0.4793,15841315.56,15472967.72,15784418.43,13655337.4,32285053.59
PRJ-0004,2024-01-31,0.6113,0.5113,17416329.66,16254019.99,16581192.27,14567462.57,31791220.88
PRJ-0004,2024-02-29,0.6651,0.5424,18951478.08,18118590.58,18483294.24,15454145.44,33404866.77
PRJ-0004,2024-03-31,0.7169,0.5741,20427455.44,19858789.1,20258520.7,16356981.89,34592338.23
PRJ-0004,2024-04-30,0.766,0.604,21825700.45,20677280.47,21093487.23,17208078.29,34236658.68
PRJ-0004,2024-05-31,0.8117,0.6326,23128629.38,21413495.01,21844520.81,18025419.54,33847960.26
PRJ-0004,2024-06-30,0.8536,0.6621,24319857.14,23499366.69,23972378.37,18864011.61,35493794.52
PRJ-0004,2024-07-31,0.8909,0.6922,25384403.36,24493511.1,24986533.62,19722975.03,35384164.7
PRJ-0004,2024-08-31,0.9234,0.7221,26308880.74,25902805.53,26424195.32,20575445.2,35869712.17
PRJ-0004,2024-09-30,0.9505,0.7523,27081663.44,27565050.35,28119898.96,21434072.78,36642442.65
PRJ-0004,2024-10-31,0.9719,0.7816,27693033.28,27727779.03,28285903.15,22268403.59,35477771.17
PRJ-0004,2024-11-30,0.9875,0.8093,28135301.92,30111939.17,30718053.33,23059582.4,37206396.84
PRJ-0004,2024-12-31,0.9969,0.8388,28402907.58,31026441.19,31650963.1,23898176.16,36991124.47
PRJ-0004,2025-01-31,1.0,0.867,28492484.96,33368222.52,34039881.43,24704174.93,38485137.88
PRJ-0004,2025-02-28,1.0,0.8967,28492484.96,33423029.17,34095791.27,25548931.81,37273775.79
PRJ-0004,2025-03-31,1.0,0.9267,28492484.96,37426598.33,38179947.07,26404441.1,40386266.31
PRJ-0004,2025-04-30,1.0,0.9558,28492484.96,36794254.63,37534875.11,27232414.79,38496760.37
PRJ-0004,2025-05-31,1.0,0.984,28492484.96,39485337.33,40280125.81,28036099.92,40128098.53
PRJ-0004,2025-06-30,1.0,1.0,28492484.96,41012674.08,41838205.86,28492484.96,41012674.08
PRJ-0005,2021-05-31,0.0018,0.0324,12744.2,248939.31,254702.2,229159.18,7685878.04
PRJ-0005,2021-06-30,0.0072,0.063,50884.99,493790.19,505221.34,445538.51,7841415.75
PRJ-0005,2021-07-31,0.0161,0.0936,114147.55,709166.81,725583.89,662469.75,7573900.89
PRJ-0005,2021-08-31,0.0286,0.1234,202076.07,966870.38,989253.25,873105.12,7834999.83
PRJ-0005,2021-09-30,0.0444,0.1529,314037.04,1246287.13,1275138.44,1082082.08,8148828.41
PRJ-0005,2021-10-31,0.0635,0.1841,449223.77,1488795.72,1523261.07,1302247.19,8088704.16
PRJ-0005,2021-11-30,0.0857,0.2124,606662.24,1628447.39,1666145.64,1502723.14,7667115.87
PRJ-0005,2021-12-31,0.111,0.2421,785218.09,1980744.84,2026598.72,1712548.31,8183196.32
PRJ-0005,2022-01-31,0.139,0.2737,983604.83,2258455.2,2310738.02,1936492.64,8251499.9
PRJ-0005,2022-02-28,0.1697,0.3039,1200393.09,2618022.3,2678629.03,2150191.23,8614568.39
PRJ-0005,2022-03-31,0.2027,0.3329,1434020.88,2815541.75,2880721.03,2355552.95,8456806.05
PRJ-0005,2022-04-30,0.2378,0.3636,1682804.93,3070097.5,3141169.69,2572478.95,8443793.55
PRJ-0005,2022-05-31,0.2749,0.3936,1944952.73,3388567.81,3467012.53,2784667.39,8609543.45
PRJ-0005,2022-06-30,0.3136,0.4225,2218575.51,3630285.36,3714325.8,2989181.79,8592621.96
PRJ-0005,2022-07-31,0.3536,0.453,2501701.8,3768030.18,3855259.38,3205266.07,8317399.38
PRJ-0005,2022-08-31,0.3947,0.4835,2792291.68,4412755.88,4514910.36,3420571.88,9127428.73
PRJ-0005,2022-09-30,0.4365,0.5139,3088251.44,4648294.68,4755901.85,3635648.35,9045843.11
PRJ-0005,2022-10-31,0.4788,0.5447,3387448.68,4922122.74,5036068.98,3853614.11,9036941.8
PRJ-0005,2022-11-30,0.5212,0.5741,3687727.67,5515812.66,5643502.71,4061962.81,9607509.74
PRJ-0005,2022-12-31,0.5635,0.6048,3986924.91,5367436.26,5491691.42,4279152.12,8874552.02
PRJ-0005,2023-01-31,0.6053,0.6354,4282884.67,5798177.57,5932404.31,4495392.96,9125593.5
PRJ-0005,2023-02-28,0.6464,0.6667,4573474.55,6258457.06,6403339.19,4717093.27,9387070.56
PRJ-0005,2023-03-31,0.6864,0.6966,4856600.84,6634382.91,6787967.65,4928415.59,9524243.28
PRJ-0005,2023-04-30,0.7251,0.7281,5130223.62,6949129.0,7110000.06,5151439.42,9544189.33
PRJ-0005,2023-05-31,0.7622,0.7593,5392371.42,7558199.83,7733170.77,5371935.68,9954623.41
PRJ-0005,2023-06-30,0.7973,0.7897,5641155.47,7863911.75,8045959.86,5587083.25,9958427.3
PRJ-0005,2023-07-31,0.8303,0.8202,5874783.26,7934194.34,8117869.48,5803201.7,9673250.57
PRJ-0005,2023-08-31,0.861,0.8489,6091571.52,8668061.39,8868725.41,6006254.34,10210700.29
PRJ-0005,2023-09-30,0.889,0.8795,6289958.26,9478011.16,9697425.37,6222420.35,10776931.91
PRJ-0005,2023-10-31,0.9143,0.9106,6468514.11,9704513.51,9929171.21,6443000.63,10656703.05
PRJ-0005,2023-11-30,0.9365,0.941,6625952.58,9353012.81,9569533.33,6657783.62,9939376.04
PRJ-0005,2023-12-31,0.9556,0.9725,6761139.31,10157491.83,10392635.9,6880513.17,10444867.15
PRJ-0005,2024-01-31,0.9714,1.0,6873100.28,10818913.7,11069369.56,7075176.35,10818913.7
PRJ-0006,2021-04-30,0.0029,0.0365,14788.94,168181.07,184887.79,184368.03,4602668.44
PRJ-0006,2021-05-31,0.0117,0.0702,58982.39,343664.5,377803.34,354091.84,4897077.37
PRJ-0006,2021-06-30,0.0262,0.1051,132062.22,503412.52,553420.36,530390.94,4789014.11
PRJ-0006,2021-07-31,0.0462,0.1379,233171.62,658936.53,724393.76,695977.0,4777128.23
PRJ-0006,2021-08-31,0.0716,0.1719,361125.19,826028.98,908084.79,867321.6,4805441.83
PRJ-0006,2021-09-30,0.102,0.2065,514422.79,1028036.21,1130158.96,1042080.37,4977661.97
PRJ-0006,2021-10-31,0.137,0.2413,691267.14,1208101.63,1328111.66,1217540.85,5006545.1
PRJ-0006,2021-11-30,0.1763,0.2749,889584.91,1390011.79,1528092.35,1387142.82,5056098.27
PRJ-0006,2021-12-31,0.2194,0.3101,1107050.99,1573593.76,1729910.94,1564611.78,5074628.21
PRJ-0006,2022-01-31,0.2658,0.3455,1341115.81,1686679.55,1854230.4,1743045.35,4882498.23
PRJ-0006,2022-02-28,0.3149,0.3786,1589035.16,2098967.95,2307474.59,1910163.59,5544385.85
PRJ-0006,2022-03-31,0.3662,0.4135,1847902.41,2171826.72,2387570.97,2086293.87,5252522.11
PRJ-0006,2022-04-30,0.4191,0.4464,2114682.59,2385365.18,2622321.85,2252155.21,5344102.26
PRJ-0006,2022-05-31,0.4729,0.4796,2386247.94,2473755.38,2719492.53,2420076.76,5157578.08
PRJ-0006,2022-06-30,0.5271,0.5135,2659414.6,2674886.47,2940603.53,2590702.38,5209619.81
PRJ-0006,2022-07-31,0.5809,0.5476,2930979.95,2993552.99,3290925.63,2762777.2,5467128.57
PRJ-0006,2022-08-31,0.6338,0.5807,3197760.13,3133354.21,3444614.39,2929939.04,5395964.81
PRJ-0006,2022-09-30,0.6851,0.615,3456627.38,3310686.1,3639562.02,3103124.96,5383155.71
PRJ-0006,2022-10-31,0.7342,0.6482,3704546.73,3591929.47,3948743.46,3270367.61,5541781.88
PRJ-0006,2022-11-30,0.7806,0.6821,3938611.55,3869956.09,4254388.6,3441728.1,5673455.86
PRJ-0006,2022-12-31,0.8237,0.7142,4156077.63,4138322.97,4549414.43,3603820.33,5794012.82
PRJ-0006,2023-01-31,0.863,0.7472,4354395.4,4214462.01,4633116.95,3770282.64,5640095.22
PRJ-0006,2023-02-28,0.898,0.7817,4531239.75,4699813.9,5166682.57,3944278.7,6012170.22
PRJ-0006,2023-03-31,0.9284,0.8142,4684537.35,4949966.15,5441684.37,4108289.62,6079381.22
PRJ-0006,2023-04-30,0.9538,0.8481,4812490.92,5232291.59,5752055.37,4279270.83,6169363.6
PRJ-0006,2023-05-31,0.9738,0.8807,4913600.32,5616480.43,6174408.64,4443565.05,6377506.48
PRJ-0006,2023-06-30,0.9883,0.9141,4986680.15,5694320.95,6259981.66,4612329.76,6229307.84
PRJ-0006,2023-07-31,0.9971,0.9463,5030873.6,5961056.55,6553214.16,4774861.57,6299131.26
PRJ-0006,2023-08-31,1.0,0.9803,5045662.54,6349840.05,6980618.52,4946394.0,6477274.16
PRJ-0006,2023-09-30,1.0,1.0,5045662.54,6157388.87,6769049.68,5045662.54,6157388.87
PRJ-0007,2021-10-31,0.0018,0.0311,31221.35,410621.4,439329.47,538914.93,13206800.75
PRJ-0007,2021-11-30,0.0072,0.0625,124660.44,842210.63,901092.73,1082887.66,13480735.21
PRJ-0007,2021-12-31,0.0161,0.0933,279644.04,1246277.65,1333409.58,1616795.84,13360905.34
PRJ-0007,2022-01-31,0.0286,0.1253,495055.5,1680677.33,1798179.76,2172410.85,13409687.01
PRJ-0007,2022-02-28,0.0444,0.1555,769342.76,2095405.18,2241902.79,2695506.64,13474227.32
PRJ-0007,2022-03-31,0.0635,0.1864,1100529.59,2638365.95,2822823.97,3230709.08,14155116.36
PRJ-0007,2022-04-30,0.0857,0.2174,1486229.77,3011095.43,3221612.36,3769038.75,13847461.9
PRJ-0007,2022-05-31,0.111,0.2491,1923664.32,3553710.08,3802163.23,4317820.31,14265719.89
PRJ-0007,2022-06-30,0.139,0.281,2409681.52,4009261.45,4289563.89,4871255.25,14265918.97
PRJ-0007,2022-07-31,0.1697,0.3119,2940779.61,4556595.78,4875164.42,5405341.86,14611459.55
PRJ-0007,2022-08-31,0.2027,0.3435,3513132.0,4989145.51,5337955.31,5953722.88,14524922.27
PRJ-0007,2022-09-30,0.2378,0.3737,4122614.9,5363204.4,5738166.06,6477483.91,14351399.97
PRJ-0007,2022-10-31,0.2749,0.4047,4764836.95,5761316.26,6164111.41,7014302.95,14236835.25
PRJ-0007,2022-11-30,0.3136,0.4349,5435170.94,6457595.23,6909069.84,7538630.83,14847543.46
PRJ-0007,2022-12-31,0.3536,0.4658,6128787.09,7083616.22,7578858.3,8073315.33,15208254.47
PRJ-0007,2023-01-31,0.3947,0.4968,6840687.88,7214809.76,7719224.07,8611472.48,14521909.58
PRJ-0007,2023-02-28,0.4365,0.5284,7565744.05,8150394.87,8720219.42,9158962.4,15424412.66
PRJ-0007,2023-03-31,0.4788,0.5584,8298731.56,8864423.37,9484168.32,9679214.68,15874009.28
PRJ-0007,2023-04-30,0.5212,0.5895,9034369.22,9233940.09,9879519.34,10218103.44,15663651.79
PRJ-0007,2023-05-31,0.5635,0.6209,9767356.73,10153309.25,10863165.03,10761859.36,16352967.15
PRJ-0007,2023-06-30,0.6053,0.6524,10492412.9,10044837.71,10747109.84,11307952.14,15396968.62
PRJ-0007,2023-07-31,0.6464,0.6853,11204313.69,11288758.64,12077997.93,11878617.16,16472388.03
PRJ-0007,2023-08-31,0.6864,0.7163,11897929.84,11620680.55,12433125.73,12415688.89,16223217.96
PRJ-0007,2023-09-30,0.7251,0.7481,12568263.83,12309661.92,13170276.37,12966547.79,16455005.14
PRJ-0007,2023-10-31,0.7622,0.7811,13210485.88,12602774.61,13483881.66,13539477.61,16133943.17
PRJ-0007,2023-11-30,0.7973,0.8128,13819968.78,12797130.89,13691826.12,14087511.01,15745432.91
PRJ-0007,2023-12-31,0.8303,0.8445,14392321.17,13731169.17,14691166.51,14637526.12,16259833.6
PRJ-0007,2024-01-31,0.861,0.8756,14923419.26,14907964.69,15950236.19,15177691.71,17025069.37
PRJ-0007,2024-02-29,0.889,0.907,15409436.46,14477302.05,15489464.32,15720307.55,15962571.65
PRJ-0007,2024-03-31,0.9143,0.9393,15846871.01,16225239.01,17359606.08,16280874.27,17273869.83
PRJ-0007,2024-04-30,0.9365,0.9704,16232571.19,16684490.05,17850965.08,16819299.35,17194173.29
PRJ-0007,2024-05-31,0.9556,1.0,16563758.02,18238151.11,19513248.38,17333100.78,18238151.11
PRJ-0008,2021-03-31,0.002,0.0332,43967.67,650510.49,668391.81,725024.16,19598516.63
PRJ-0008,2021-04-30,0.008,0.0685,175516.67,1428347.21,1467609.81,1495440.85,20863440.46
PRJ-0008,2021-05-31,0.018,0.1015,393587.86,2193430.45,2253723.77,2217094.64,21610310.9
PRJ-0008,2021-06-30,0.0319,0.1352,696425.44,2813685.46,2891028.43,2952226.7,20818393.87
PRJ-0008,2021-07-31,0.0495,0.1694,1081591.15,3483065.7,3578808.69,3700074.93,20562339.54
PRJ-0008,2021-08-31,0.0708,0.2028,1545983.87,4222269.78,4338332.1,4428838.3,20824641.44
PRJ-0008,2021-09-30,0.0955,0.2357,2085864.57,4930665.34,5066200.14,5147574.27,20923015.82
PRJ-0008,2021-10-31,0.1235,0.2687,2696886.45,5657426.75,5812938.87,5869325.68,21054847.93
PRJ-0008,2021-11-30,0.1545,0.3025,3374129.92,6459511.35,6637071.28,6607054.96,21355666.24
PRJ-0008,2021-12-31,0.1883,0.3366,4112142.22,7520187.51,7726903.45,7351968.0,22343254.88
PRJ-0008,2022-01-31,0.2246,0.3691,4904981.31,8043299.1,8264394.4,8061460.83,21794246.03
PRJ-0008,2022-02-28,0.2631,0.4012,5746263.71,8834382.19,9077222.89,8763264.17,22020727.27
PRJ-0008,2022-03-31,0.3035,0.4342,6629215.91,9251535.93,9505843.42,9484469.8,21306992.86
PRJ-0008,2022-04-30,0.3455,0.4676,7546728.9,10099410.95,10377024.94,10214752.57,21596808.21
PRJ-0008,2022-05-31,0.3887,0.5012,8491415.4,11513947.87,11830444.84,10947409.24,22973876.6
PRJ-0008,2022-06-30,0.4329,0.5345,9455669.35,11979690.26,12308989.62,11676315.53,22410995.33
PRJ-0008,2022-07-31,0.4776,0.5688,10431727.16,13056163.9,13415053.52,12424456.57,22954063.0
PRJ-0008,2022-08-31,0.5224,0.6006,11411730.16,14371218.89,14766256.91,13118801.62,23928794.38
PRJ-0008,2022-09-30,0.5671,0.6335,12387787.97,15446424.89,15871018.33,13837275.84,24383652.31
PRJ-0008,2022-10-31,0.6113,0.6682,13352041.92,15242059.98,15661035.8,14594865.45,22812083.32
PRJ-0008,2022-11-30,0.6545,0.7007,14296728.42,16716716.45,17176227.83,15306338.11,23856188.17
PRJ-0008,2022-12-31,0.6965,0.7347,15214241.41,17620203.06,18104549.61,16048356.09,23982902.14
PRJ-0008,2023-01-31,0.7369,0.7669,16097193.61,18348777.19,18853150.88,16751454.71,23926323.92
PRJ-0008,2023-02-28,0.7754,0.8,16938476.01,18646214.62,19158764.32,17475147.91,23307258.71
PRJ-0008,2023-03-31,0.8117,0.834,17731315.1,19380052.09,19912773.61,18218429.71,23236214.51
PRJ-0008,2023-04-30,0.8455,0.867,18469327.4,20291577.09,20849354.73,18938789.95,23403723.22
PRJ-0008,2023-05-31,0.8765,0.8994,19146570.87,22669231.91,23292366.85,19645966.9,25204888.22
PRJ-0008,2023-06-30,0.9045,0.9317,19757592.75,23417746.88,24061457.11,20352535.69,25133210.05
PRJ-0008,2023-07-31,0.9292,0.9641,20297473.45,24421191.95,25092485.0,21059231.68,25330613.77
PRJ-0008,2023-08-31,0.9505,0.9966,20761866.17,24665334.29,25343338.37,21768521.3,24750242.31
PRJ-0008,2023-09-30,0.9681,1.0,21147031.88,26262697.22,26984609.83,21843457.32,26262697.22
PRJ-0009,2021-05-31,0.0015,0.0201,38495.45,470328.06,507630.79,501033.96,23444805.33
PRJ-0009,2021-06-30,0.0062,0.0416,153744.47,969543.47,1046440.05,1039199.41,23301361.52
PRJ-0009,2021-07-31,0.0138,0.062,345036.5,1423669.57,1536583.87,1548124.27,22967635.54
PRJ-0009,2021-08-31,0.0245,0.0836,611192.18,1964330.64,2120125.93,2087194.19,23505237.28
