project_id,work_package_id,work_package_name,budget,actual_cost,planned_progress,actual_progress
PRJ-0003,WP-019,Final Cleaning,223277.82,193517.26,0.0843,0.1177
PRJ-0003,WP-020,Demolition,62825.49,54042.92,0.0843,0.1692
PRJ-0003,WP-021,Site Preparation (2),316250.39,296698.26,0.0843,0.1613
PRJ-0003,WP-022,Earthworks (2),57847.97,54019.11,0.0843,0.1377
PRJ-0003,WP-023,Foundations (2),44395.71,38781.64,0.0843,0.17
PRJ-0003,WP-024,Structure (2),513.49,533.36,0.0843,0.1751
PRJ-0003,WP-025,Masonry (2),68516.13,62737.4,0.0843,0.1359
PRJ-0003,WP-026,Roofing (2),327920.46,319547.0,0.0843,0.1543
PRJ-0003,WP-027,Waterproofing (2),174665.64,162549.96,0.0843,0.2203
PRJ-0003,WP-028,Facade (2),99915.74,102328.44,0.0843,0.1084
PRJ-0003,WP-029,Electrical (2),20947.21,20261.44,0.0843,0.1695
PRJ-0003,WP-030,Plumbing (2),777998.74,642853.68,0.0843,0.1818
PRJ-0003,WP-031,HVAC (2),352586.57,342714.75,0.0843,0.1351
PRJ-0003,WP-032,Fire Safety Systems (2),105796.22,100600.95,0.0843,0.182
PRJ-0003,WP-033,Elevators (2),41635.65,38536.87,0.0843,0.086
PRJ-0003,WP-034,Interior Finishes (2),35809.74,30786.78,0.0843,0.2198
PRJ-0003,WP-035,Painting (2),55298.62,50176.47,0.0843,0.1626
PRJ-0003,WP-036,Landscaping (2),165799.8,166486.98,0.0843,0.0536
PRJ-0003,WP-037,Utilities Connection (2),58798.13,60713.66,0.0843,0.1544
PRJ-0003,WP-038,Commissioning (2),500166.95,458136.93,0.0843,0.1839
PRJ-0003,WP-039,Final Cleaning (2),78489.71,71317.7,0.0843,0.206
PRJ-0003,WP-040,Demolition (2),245162.69,206686.39,0.0843,0.1405
PRJ-0003,WP-041,Site Preparation (3),187408.98,180878.99,0.0843,0.0608
PRJ-0003,WP-042,Earthworks (3),159004.92,129160.77,0.0843,0.1095
PRJ-0003,WP-043,Foundations (3),64739.69,64956.53,0.0843,0.1631
PRJ-0003,WP-044,Structure (3),119406.4,119720.88,0.0843,0.163
PRJ-0003,WP-045,Masonry (3),76626.24,70333.39,0.0843,0.2028
PRJ-0003,WP-046,Roofing (3),3470.09,2932.52,0.0843,0.2118
PRJ-0003,WP-047,Waterproofing (3),218391.52,192775.94,0.0843,0.1137
PRJ-0003,WP-048,Facade (3),352515.52,341113.57,0.0843,0.1301
PRJ-0003,WP-049,Electrical (3),244335.41,191497.66,0.0843,0.1441
PRJ-0003,WP-050,Plumbing (3),237886.08,210657.02,0.0843,0.2325
PRJ-0003,WP-051,HVAC (3),73011.99,64228.96,0.0843,0.1192
PRJ-0003,WP-052,Fire Safety Systems (3),26055.79,22179.12,0.0843,0.1352
PRJ-0003,WP-053,Elevators (3),99872.11,87645.05,0.0843,0.1822
PRJ-0003,WP-054,Interior Finishes (3),12629.63,11728.5,0.0843,0.1659
PRJ-0003,WP-055,Painting (3),1415.72,1137.69,0.0843,0.1253
PRJ-0003,WP-056,Landscaping (3),138990.8,113765.75,0.0843,0.1271
PRJ-0003,WP-057,Utilities Connection (3),38336.21,30412.48,0.0843,0.1138
PRJ-0003,WP-058,Commissioning (3),60061.82,55363.25,0.0843,0.232
PRJ-0003,WP-059,Final Cleaning (3),281023.16,226530.16,0.0843,0.1975
PRJ-0003,WP-060,Demolition (3),24364.98,23659.26,0.0843,0.1607
PRJ-0003,WP-061,Site Preparation (4),107599.6,96374.27,0.0843,0.1138
PRJ-0003,WP-062,Earthworks (4),114131.09,97371.21,0.0843,0.1178
PRJ-0003,WP-063,Foundations (4),500.0,493.52,0.0843,0.0756
PRJ-0003,WP-064,Structure (4),58410.75,46603.32,0.0843,0.1311
PRJ-0003,WP-065,Masonry (4),28809.13,26744.06,0.0843,0.1051
PRJ-0003,WP-066,Roofing (4),80447.54,65628.04,0.0843,0.0876
PRJ-0003,WP-067,Waterproofing (4),117523.78,115214.21,0.0843,0.1405
PRJ-0003,WP-068,Facade (4),55918.79,50167.07,0.0843,0.1895
PRJ-0003,WP-069,Electrical (4),88599.71,83401.39,0.0843,0.2338
PRJ-0003,WP-070,Plumbing (4),314015.62,295440.25,0.0843,0.1062
PRJ-0003,WP-071,HVAC (4),57201.99,55639.93,0.0843,0.1179
PRJ-0003,WP-072,Fire Safety Systems (4),214494.25,209693.7,0.0843,0.1941
PRJ-0003,WP-073,Elevators (4),13807.77,13323.99,0.0843,0.15
PRJ-0004,WP-001,Site Preparation,89520.61,87052.55,1.0,0.9689
PRJ-0004,WP-002,Earthworks,338336.76,351826.9,1.0,0.9974
PRJ-0004,WP-003,Foundations,649219.54,669816.51,1.0,1.0
PRJ-0004,WP-004,Structure,43923.8,42764.72,1.0,0.9138
PRJ-0004,WP-005,Masonry,1827369.02,1744445.23,1.0,1.0
PRJ-0004,WP-006,Roofing,493411.81,424316.54,1.0,1.0
PRJ-0004,WP-007,Waterproofing,39877.62,41474.18,1.0,1.0
PRJ-0004,WP-008,Facade,254826.07,276229.02,1.0,1.0
PRJ-0004,WP-009,Electrical,1170614.41,1070300.1,1.0,1.0
PRJ-0004,WP-010,Plumbing,357034.76,301419.28,1.0,1.0
PRJ-0004,WP-011,HVAC,79314.33,77571.24,1.0,1.0
PRJ-0004,WP-012,Fire Safety Systems,64285.92,61145.94,1.0,0.9645
PRJ-0004,WP-013,Elevators,58941.77,57551.9,1.0,1.0
PRJ-0004,WP-014,Interior Finishes,65311.06,60189.37,1.0,1.0
PRJ-0004,WP-015,Painting,208404.63,220114.72,1.0,0.9809
PRJ-0004,WP-016,Landscaping,684716.01,641948.96,1.0,1.0
PRJ-0004,WP-017,Utilities Connection,451519.11,440911.99,1.0,1.0
PRJ-0004,WP-018,Commissioning,130429.89,118914.6,1.0,0.9306
PRJ-0004,WP-019,Final Cleaning,360313.19,329451.71,1.0,1.0
PRJ-0004,WP-020,Demolition,163325.14,154504.13,1.0,0.908
PRJ-0004,WP-021,Site Preparation (2),112911.61,111655.15,1.0,1.0
PRJ-0004,WP-022,Earthworks (2),76748.26,79602.52,1.0,1.0
PRJ-0004,WP-023,Foundations (2),207477.84,190038.54,1.0,1.0
PRJ-0004,WP-024,Structure (2),154141.32,148958.29,1.0,1.0
PRJ-0004,WP-025,Masonry (2),462908.26,448087.67,1.0,0.9357
PRJ-0004,WP-026,Roofing (2),173243.62,173418.53,1.0,1.0
PRJ-0004,WP-027,Waterproofing (2),666001.03,580702.67,1.0,1.0
PRJ-0004,WP-028,Facade (2),360929.73,313528.76,1.0,0.9298
PRJ-0004,WP-029,Electrical (2),57566.1,57285.07,1.0,1.0
PRJ-0004,WP-030,Plumbing (2),198767.96,204081.74,1.0,0.9619
PRJ-0004,WP-031,HVAC (2),59998.89,59307.39,1.0,1.0
PRJ-0004,WP-032,Fire Safety Systems (2),103993.67,106150.87,1.0,1.0
PRJ-0004,WP-033,Elevators (2),202805.46,190470.11,1.0,0.9036
PRJ-0004,WP-034,Interior Finishes (2),25191.18,24406.61,1.0,0.9724
PRJ-0004,WP-035,Painting (2),76462.97,70301.87,1.0,1.0
PRJ-0004,WP-036,Landscaping (2),455057.92,452417.57,1.0,0.9828
PRJ-0004,WP-037,Utilities Connection (2),579330.05,469159.18,1.0,0.9644
PRJ-0004,WP-038,Commissioning (2),1143981.03,1235454.29,1.0,1.0
PRJ-0004,WP-039,Final Cleaning (2),674402.42,655173.55,1.0,1.0
PRJ-0004,WP-040,Demolition (2),264202.67,218003.31,1.0,0.9299
PRJ-0004,WP-041,Site Preparation (3),1499096.4,1472932.76,1.0,0.9382
PRJ-0004,WP-042,Earthworks (3),1271108.45,1198916.16,1.0,0.9723
PRJ-0004,WP-043,Foundations (3),582070.25,619510.39,1.0,1.0
PRJ-0004,WP-044,Structure (3),460240.52,445009.5,1.0,0.9374
PRJ-0004,WP-045,Masonry (3),323292.87,344599.12,1.0,1.0
PRJ-0004,WP-046,Roofing (3),50754.86,56410.71,1.0,1.0
PRJ-0004,WP-047,Waterproofing (3),823505.21,722015.47,1.0,1.0
PRJ-0004,WP-048,Facade (3),1458946.45,1483371.73,1.0,1.0
PRJ-0004,WP-049,Electrical (3),244072.81,261523.25,1.0,1.0
PRJ-0004,WP-050,Plumbing (3),151938.58,150844.66,1.0,0.948
PRJ-0004,WP-051,HVAC (3),17680.66,16321.15,1.0,0.9011
PRJ-0004,WP-052,Fire Safety Systems (3),60022.33,63953.22,1.0,0.9467
PRJ-0004,WP-053,Elevators (3),447920.92,451071.5,1.0,1.0
PRJ-0004,WP-054,Interior Finishes (3),365069.41,333780.57,1.0,1.0
PRJ-0004,WP-055,Painting (3),405656.17,390785.58,1.0,0.9994
PRJ-0004,WP-056,Landscaping (3),318966.8,279025.44,1.0,0.9092
PRJ-0004,WP-057,Utilities Connection (3),72684.0,66370.53,1.0,0.9746
PRJ-0004,WP-058,Commissioning (3),379863.52,353809.29,1.0,1.0
PRJ-0004,WP-059,Final Cleaning (3),378797.22,346864.99,1.0,1.0
PRJ-0004,WP-060,Demolition (3),34878.75,37759.12,1.0,1.0
PRJ-0004,WP-061,Site Preparation (4),251562.35,244641.07,1.0,0.977
PRJ-0004,WP-062,Earthworks (4),462668.3,386813.76,1.0,1.0
PRJ-0004,WP-063,Foundations (4),247449.36,247443.52,1.0,1.0
PRJ-0004,WP-064,Structure (4),571060.37,554580.85,1.0,0.9784
PRJ-0004,WP-065,Masonry (4),93991.21,95430.98,1.0,1.0
PRJ-0004,WP-066,Roofing (4),275965.15,280369.7,1.0,1.0
PRJ-0004,WP-067,Waterproofing (4),1010156.38,914697.44,1.0,1.0
PRJ-0004,WP-068,Facade (4),401762.61,337184.94,1.0,1.0
PRJ-0004,WP-069,Electrical (4),591465.03,518227.54,1.0,1.0
PRJ-0004,WP-070,Plumbing (4),553001.68,478613.61,1.0,1.0
PRJ-0004,WP-071,HVAC (4),540445.42,605545.84,1.0,1.0
PRJ-0004,WP-072,Fire Safety Systems (4),79635.15,77734.51,1.0,1.0
PRJ-0004,WP-073,Elevators (4),68596.43,68486.31,1.0,0.9728
PRJ-0004,WP-074,Interior Finishes (4),31921.27,33763.65,1.0,1.0
PRJ-0004,WP-075,Painting (4),188053.38,169704.71,1.0,0.9753
PRJ-0004,WP-076,Landscaping (4),59861.95,59438.78,1.0,0.9651
PRJ-0004,WP-077,Utilities Connection (4),131505.3,137867.63,1.0,0.9882
PRJ-0005,WP-001,Site Preparation,286198.45,352408.98,0.9714,1.0
PRJ-0005,WP-002,Earthworks,188463.3,201017.97,0.9714,0.94
PRJ-0005,WP-003,Foundations,74369.8,82409.85,0.9714,1.0
PRJ-0005,WP-004,Structure,645.21,737.93,0.9714,1.0
PRJ-0005,WP-005,Masonry,195162.14,193984.37,0.9714,1.0
PRJ-0005,WP-006,Roofing,77144.87,89019.97,0.9714,0.9968
PRJ-0005,WP-007,Waterproofing,9646.07,11720.36,0.9714,0.9756
PRJ-0005,WP-008,Facade,298460.52,352294.26,0.9714,0.9977
PRJ-0005,WP-009,Electrical,12449.05,14922.9,0.9714,1.0
PRJ-0005,WP-010,Plumbing,31610.4,30797.38,0.9714,1.0
PRJ-0005,WP-011,HVAC,205598.76,245892.15,0.9714,0.9667
PRJ-0005,WP-012,Fire Safety Systems,315341.88,314088.49,0.9714,1.0
PRJ-0005,WP-013,Elevators,22714.24,25620.84,0.9714,0.9757
PRJ-0005,WP-014,Interior Finishes,119951.75,127289.95,0.9714,0.9083
PRJ-0005,WP-015,Painting,64774.97,66245.91,0.9714,1.0
PRJ-0005,WP-016,Landscaping,8533.21,9432.71,0.9714,0.929
PRJ-0005,WP-017,Utilities Connection,187465.27,178746.31,0.9714,1.0
PRJ-0005,WP-018,Commissioning,2374.73,2392.71,0.9714,0.9339
PRJ-0005,WP-019,Final Cleaning,146219.34,176089.21,0.9714,1.0
PRJ-0005,WP-020,Demolition,42211.32,41465.99,0.9714,0.9435
PRJ-0005,WP-021,Site Preparation (2),198489.59,213976.08,0.9714,0.9206
PRJ-0005,WP-022,Earthworks (2),230138.3,261626.5,0.9714,0.9871
PRJ-0005,WP-023,Foundations (2),235418.7,241486.35,0.9714,0.8947
PRJ-0005,WP-024,Structure (2),103848.97,99720.42,0.9714,0.9915
PRJ-0005,WP-025,Masonry (2),63335.64,60939.48,0.9714,1.0
PRJ-0005,WP-026,Roofing (2),11203.31,11159.19,0.9714,1.0
PRJ-0005,WP-027,Waterproofing (2),567290.85,649638.98,0.9714,1.0
PRJ-0005,WP-028,Facade (2),42529.03,49653.71,0.9714,0.9949
PRJ-0005,WP-029,Electrical (2),11414.75,11490.86,0.9714,1.0
PRJ-0005,WP-030,Plumbing (2),479923.62,530191.87,0.9714,0.9398
PRJ-0005,WP-031,HVAC (2),54195.19,57554.42,0.9714,0.9574
PRJ-0005,WP-032,Fire Safety Systems (2),339561.89,381727.98,0.9714,1.0
PRJ-0005,WP-033,Elevators (2),3663.6,3759.0,0.9714,1.0
PRJ-0005,WP-034,Interior Finishes (2),566206.16,623031.74,0.9714,1.0
PRJ-0005,WP-035,Painting (2),32149.14,34313.75,0.9714,0.9858
PRJ-0005,WP-036,Landscaping (2),18177.61,21439.27,0.9714,0.8955
PRJ-0005,WP-037,Utilities Connection (2),31905.15,39357.24,0.9714,1.0
PRJ-0005,WP-038,Commissioning (2),587807.07,680988.23,0.9714,0.9177
PRJ-0005,WP-039,Final Cleaning (2),62745.56,69545.8,0.9714,1.0
PRJ-0005,WP-040,Demolition (2),232746.26,240198.44,0.9714,0.9986
PRJ-0005,WP-041,Site Preparation (3),172683.68,185501.77,0.9714,0.9731
PRJ-0005,WP-042,Earthworks (3),14769.56,14971.95,0.9714,0.9912
PRJ-0005,WP-043,Foundations (3),143628.82,154495.62,0.9714,1.0
PRJ-0005,WP-044,Structure (3),151519.04,151652.29,0.9714,0.9908
PRJ-0005,WP-045,Masonry (3),62327.29,68521.28,0.9714,0.9833
PRJ-0005,WP-046,Roofing (3),141869.03,183277.22,0.9714,1.0
PRJ-0005,WP-047,Waterproofing (3),70438.47,79954.24,0.9714,1.0
PRJ-0005,WP-048,Facade (3),155854.77,165962.48,0.9714,1.0
PRJ-0006,WP-001,Site Preparation,11872.83,11805.46,1.0,1.0
PRJ-0006,WP-002,Earthworks,31403.89,28145.28,1.0,0.9619
PRJ-0006,WP-003,Foundations,158284.59,161901.59,1.0,1.0
PRJ-0006,WP-004,Structure,44232.11,36226.98,1.0,1.0
PRJ-0006,WP-005,Masonry,227518.91,216235.18,1.0,1.0
PRJ-0006,WP-006,Roofing,184482.17,164900.93,1.0,0.9895
PRJ-0006,WP-007,Waterproofing,336268.82,290246.36,1.0,0.9595
PRJ-0006,WP-008,Facade,93717.58,91355.75,1.0,1.0
PRJ-0006,WP-009,Electrical,11147.3,10224.47,1.0,1.0
PRJ-0006,WP-010,Plumbing,35815.32,30440.09,1.0,0.9224
PRJ-0006,WP-011,HVAC,236491.81,218118.87,1.0,1.0
PRJ-0006,WP-012,Fire Safety Systems,202912.07,196355.15,1.0,0.9643
PRJ-0006,WP-013,Elevators,36929.06,40948.64,1.0,1.0
PRJ-0006,WP-014,Interior Finishes,857.67,760.64,1.0,1.0
PRJ-0006,WP-015,Painting,194398.72,194758.37,1.0,0.9996
PRJ-0006,WP-016,Landscaping,53855.82,49011.47,1.0,1.0
PRJ-0006,WP-017,Utilities Connection,148079.95,149043.8,1.0,1.0
PRJ-0006,WP-018,Commissioning,196939.22,193846.92,1.0,0.9064
PRJ-0006,WP-019,Final Cleaning,226517.8,199465.85,1.0,1.0
PRJ-0006,WP-020,Demolition,24220.37,21463.03,1.0,0.9733
PRJ-0006,WP-021,Site Preparation (2),81265.2,71837.22,1.0,1.0
PRJ-0006,WP-022,Earthworks (2),118776.08,97242.94,1.0,1.0
PRJ-0006,WP-023,Foundations (2),17624.65,15850.92,1.0,0.931
PRJ-0006,WP-024,Structure (2),135712.89,126527.57,1.0,0.9289
PRJ-0006,WP-025,Masonry (2),10883.35,10716.1,1.0,1.0
PRJ-0006,WP-026,Roofing (2),19508.65,19522.81,1.0,0.8829
PRJ-0006,WP-027,Waterproofing (2),207862.56,181353.92,1.0,0.9663
PRJ-0006,WP-028,Facade (2),223701.33,195789.9,1.0,0.9415
PRJ-0006,WP-029,Electrical (2),17927.32,17121.83,1.0,1.0
PRJ-0006,WP-030,Plumbing (2),227525.32,233274.16,1.0,0.9915
PRJ-0006,WP-031,HVAC (2),37931.21,34344.86,1.0,0.964
PRJ-0006,WP-032,Fire Safety Systems (2),30761.64,27953.05,1.0,1.0
PRJ-0006,WP-033,Elevators (2),161388.21,143599.03,1.0,1.0
PRJ-0006,WP-034,Interior Finishes (2),134437.75,103802.17,1.0,1.0
PRJ-0006,WP-035,Painting (2),65682.08,61254.26,1.0,1.0
PRJ-0006,WP-036,Landscaping (2),19478.74,18332.27,1.0,0.9206
PRJ-0006,WP-037,Utilities Connection (2),56755.92,52679.07,1.0,1.0
PRJ-0006,WP-038,Commissioning (2),81413.86,84459.67,1.0,0.9508
PRJ-0006,WP-039,Final Cleaning (2),2992.11,2892.15,1.0,1.0
PRJ-0006,WP-040,Demolition (2),71387.93,56154.49,1.0,0.9595
PRJ-0006,WP-041,Site Preparation (3),218518.88,200768.04,1.0,1.0
PRJ-0006,WP-042,Earthworks (3),205592.08,194502.01,1.0,0.9976
PRJ-0006,WP-043,Foundations (3),168869.35,161761.78,1.0,1.0
PRJ-0006,WP-044,Structure (3),46147.13,40441.22,1.0,0.9772
PRJ-0006,WP-045,Masonry (3),1142.55,971.72,1.0,1.0
PRJ-0006,WP-046,Roofing (3),8387.45,7725.01,1.0,0.9909
PRJ-0006,WP-047,Waterproofing (3),218039.58,205481.62,1.0,0.939
PRJ-0006,WP-048,Facade (3),500.0,527.86,1.0,1.0
PRJ-0007,WP-001,Site Preparation,22178.7,18313.2,0.9556,1.0
PRJ-0007,WP-002,Earthworks,482162.65,371118.62,0.9556,1.0
PRJ-0007,WP-003,Foundations,315698.91,253134.73,0.9556,0.9832
PRJ-0007,WP-004,Structure,182898.77,155659.69,0.9556,0.9642
PRJ-0007,WP-005,Masonry,97128.84,74742.14,0.9556,1.0
PRJ-0007,WP-006,Roofing,14520.89,12470.7,0.9556,0.9744
PRJ-0007,WP-007,Waterproofing,742773.78,566096.92,0.9556,1.0
PRJ-0007,WP-008,Facade,1489.74,1209.53,0.9556,1.0
PRJ-0007,WP-009,Electrical,126638.41,100959.71,0.9556,0.9777
PRJ-0007,WP-010,Plumbing,346340.19,281791.47,0.9556,0.9478
PRJ-0007,WP-011,HVAC,246323.99,195295.63,0.9556,1.0
PRJ-0007,WP-012,Fire Safety Systems,53879.83,43490.98,0.9556,0.9545
PRJ-0007,WP-013,Elevators,484562.67,368208.31,0.9556,1.0
PRJ-0007,WP-014,Interior Finishes,143816.65,111157.33,0.9556,1.0
PRJ-0007,WP-015,Painting,312859.49,256756.83,0.9556,0.9551
PRJ-0007,WP-016,Landscaping,89329.75,64817.6,0.9556,0.9927
PRJ-0007,WP-017,Utilities Connection,374885.5,278314.21,0.9556,1.0
PRJ-0007,WP-018,Commissioning,320710.02,234620.54,0.9556,0.9315
PRJ-0007,WP-019,Final Cleaning,1503372.88,1165449.3,0.9556,1.0
PRJ-0007,WP-020,Demolition,303128.9,226031.59,0.9556,1.0
PRJ-0007,WP-021,Site Preparation (2),68079.17,58281.61,0.9556,0.9692
PRJ-0007,WP-022,Earthworks (2),11218.07,8597.43,0.9556,0.9287
PRJ-0007,WP-023,Foundations (2),267729.84,196461.17,0.9556,0.9941
PRJ-0007,WP-024,Structure (2),406941.9,356685.26,0.9556,0.9717
PRJ-0007,WP-025,Masonry (2),476841.45,373593.28,0.9556,0.9935
PRJ-0007,WP-026,Roofing (2),133338.17,94375.92,0.9556,1.0
PRJ-0007,WP-027,Waterproofing (2),1273247.56,1069924.7,0.9556,0.9255
PRJ-0007,WP-028,Facade (2),240065.02,187855.19,0.9556,1.0
PRJ-0007,WP-029,Electrical (2),178760.19,129662.09,0.9556,1.0
PRJ-0007,WP-030,Plumbing (2),673129.48,466799.76,0.9556,0.9779
PRJ-0007,WP-031,HVAC (2),1063786.81,774206.29,0.9556,1.0
PRJ-0007,WP-032,Fire Safety Systems (2),120476.22,99402.14,0.9556,0.9056
PRJ-0007,WP-033,Elevators (2),524396.47,400058.37,0.9556,0.9252
PRJ-0007,WP-034,Interior Finishes (2),791057.58,642533.16,0.9556,0.9658
PRJ-0007,WP-035,Painting (2),112020.45,85072.06,0.9556,1.0
PRJ-0007,WP-036,Landscaping (2),60711.52,46690.73,0.9556,0.9731
PRJ-0007,WP-037,Utilities Connection (2),127209.29,112197.9,0.9556,1.0
PRJ-0007,WP-038,Commissioning (2),278663.09,214099.94,0.9556,0.9725
PRJ-0007,WP-039,Final Cleaning (2),813800.53,584392.31,0.9556,0.9405
PRJ-0007,WP-040,Demolition (2),31664.79,25444.18,0.9556,0.9877
PRJ-0007,WP-041,Site Preparation (3),505156.33,402740.74,0.9556,1.0
PRJ-0007,WP-042,Earthworks (3),76626.86,57338.94,0.9556,1.0
PRJ-0007,WP-043,Foundations (3),500450.64,373622.06,0.9556,0.9942
PRJ-0007,WP-044,Structure (3),446771.19,351211.52,0.9556,1.0
PRJ-0007,WP-045,Masonry (3),173431.86,135066.62,0.9556,1.0
PRJ-0007,WP-046,Roofing (3),477877.58,356612.84,0.9556,1.0
PRJ-0007,WP-047,Waterproofing (3),201839.61,152451.57,0.9556,0.9605
PRJ-0007,WP-048,Facade (3),197547.41,140378.56,0.9556,0.9447
PRJ-0007,WP-049,Electrical (3),187236.67,140314.51,0.9556,0.9757
PRJ-0007,WP-050,Plumbing (3),39550.52,28538.63,0.9556,1.0
PRJ-0007,WP-051,HVAC (3),154575.05,118985.6,0.9556,1.0
PRJ-0007,WP-052,Fire Safety Systems (3),55397.55,43135.13,0.9556,1.0
PRJ-0007,WP-053,Elevators (3),284205.94,228981.77,0.9556,1.0
PRJ-0007,WP-054,Interior Finishes (3),214595.42,175226.51,0.9556,1.0
PRJ-0008,WP-001,Site Preparation,222268.18,180265.63,0.9681,0.9854
PRJ-0008,WP-002,Earthworks,515988.81,596674.73,0.9681,0.9594
PRJ-0008,WP-003,Foundations,511701.09,555377.98,0.9681,0.9683
